long,lat
38.95313,64.38303
38.96583,64.37276
38.97721,64.3611
38.98805,64.3461
38.9911,64.34027
38.99194,64.33305
38.98694,64.30859
38.98388,64.29721
38.97416,64.26944
38.97138,64.26444
38.96249,64.24275
38.95666,64.22609
38.95361,64.21471
38.95055,64.19664
38.95249,64.18193
38.95499,64.17387
38.97555,64.13248
38.99749,64.09166
39.00388,64.0811
39.02471,64.05165
39.03472,64.0361
39.06805,63.98333
39.11388,63.89305
39.1536,63.81388
39.2061,63.71277
39.20944,63.70805
39.22416,63.69388
39.26333,63.65721
39.27916,63.64361
39.32972,63.59583
39.36444,63.56138
39.39361,63.52638
39.4036,63.51083
39.42333,63.4786
39.49833,63.34249
39.52833,63.28082
39.59916,63.13027
39.61721,63.09332
39.64444,63.03861
39.66694,63
39.69777,62.95527
39.73583,62.90166
39.74888,62.87972
39.78444,62.81944
39.79972,62.78944
39.82944,62.72721
39.90971,62.58444
39.92694,62.55972
39.93416,62.5511
40.03082,62.44193
40.03384,62.44048
40.07527,62.42416
40.08943,62.41944
40.10471,62.41805
40.11028,62.4186
40.12193,62.42222
40.13472,62.42805
40.22027,62.41082
40.27805,62.39888
40.42027,62.35527
40.42888,62.35
40.43638,62.34222
40.44249,62.32999
40.46915,62.27499
40.47388,62.25916
40.47527,62.25139
40.47665,62.22971
40.47804,62.22193
40.48027,62.21361
40.48611,62.20139
40.49361,62.19249
40.50421,62.18553
40.56444,62.14111
40.60666,62.1125
40.71471,62.04694
40.7236,62.0425
40.83997,61.9993
40.87277,61.9875
40.88249,61.98527
40.90721,61.98333
40.91833,61.98444
40.92416,61.98611
40.93527,61.9875
40.94582,61.9875
40.96639,61.98527
40.9761,61.98305
40.99972,61.97499
41.01749,61.9661
41.03805,61.95277
41.05055,61.94305
41.11166,61.89333
41.12555,61.87416
41.20277,61.73777
41.25639,61.6386
41.26222,61.6261
41.26749,61.61138
41.3011,61.45444
41.3036,61.43832
41.30249,61.42471
41.30138,61.4186
41.29916,61.41277
41.29222,61.40332
41.27361,61.39583
41.26222,61.39388
41.21999,61.38277
41.20805,61.37666
41.1986,61.3686
41.18721,61.35527
41.17527,61.33499
41.17083,61.32361
41.16527,61.3061
41.16277,61.29361
41.16221,61.28694
41.16138,61.27332
41.1661,61.24888
41.1686,61.24166
41.19582,61.17333
41.20222,61.16193
41.2061,61.15804
41.22027,61.15277
41.2286,61.14722
41.23193,61.14194
41.23416,61.13333
41.23721,61.08582
41.23027,61.02249
41.20988,61.0042
41.23249,60.98388
41.23638,60.97971
41.24305,60.96971
41.2486,60.95583
41.25055,60.94749
41.25777,60.81194
41.25805,60.70499
41.25278,60.67999
41.24583,60.65638
41.23166,60.59388
41.21832,60.53194
41.21721,60.51833
41.21749,60.51111
41.21944,60.48833
41.22276,60.47166
41.22749,60.45694
41.23055,60.45055
41.24388,60.42999
41.26305,60.40888
41.28277,60.38221
41.29277,60.36666
41.3086,60.3386
41.31444,60.32583
41.33638,60.27194
41.3411,60.25722
41.34916,60.22276
41.35944,60.19415
41.36999,60.16666
41.37555,60.15277
41.3811,60.14027
41.40027,60.10666
41.41027,60.0911
41.41415,60.08694
41.41833,60.08388
41.43221,60.07861
41.44249,60.07694
41.45361,60.07777
41.5186,60.09249
41.52471,60.09415
41.5375,60.09943
41.54222,60.10333
41.55027,60.11221
41.55804,60.1211
41.5611,60.1261
41.57222,60.15443
41.575,60.16694
41.57944,60.17805
41.58888,60.18582
41.59444,60.18638
41.59943,60.18555
41.62777,60.16415
41.63583,60.15721
41.65971,60.13611
41.72416,60.08028
41.73694,60.07138
41.75222,60.06944
41.75777,60.06972
41.76333,60.07305
41.78111,60.08804
41.79361,60.10083
41.80055,60.11111
41.80499,60.12249
41.80694,60.13555
41.80555,60.1511
41.795,60.19332
41.78333,60.21888
41.77805,60.23249
41.77361,60.24888
41.77249,60.25694
41.77361,60.26305
41.77666,60.26833
41.78166,60.27222
41.78722,60.27527
41.79277,60.27583
41.80249,60.27332
41.81527,60.26444
41.82277,60.2561
41.82944,60.24583
41.85889,60.18305
41.86221,60.17777
41.88387,60.15276
41.885,60.15305
41.89805,60.14527
41.9111,60.13722
42.03249,60.02805
42.16361,60.02666
42.21749,60.01444
42.29444,59.92138
42.29778,59.9161
42.30083,59.90971
42.3161,59.8575
42.3225,59.73583
42.30888,59.62222
42.30193,59.56805
42.29694,59.54972
42.29361,59.52999
42.29166,59.48721
42.29277,59.45721
42.295,59.44083
42.29972,59.42555
42.34777,59.28472
42.35444,59.27388
42.36277,59.26777
42.37222,59.26389
42.38722,59.26028
42.40249,59.25777
42.41305,59.2575
42.43111,59.26194
42.44193,59.26138
42.45166,59.25861
42.47276,59.24305
42.48055,59.23583
42.49194,59.22305
42.50278,59.20916
42.54111,59.15582
42.54416,59.14916
42.54639,59.14166
42.5461,59.12694
42.53138,59.09332
42.52555,59.06805
42.52388,59.04722
42.52527,59.02388
42.53138,58.98249
42.53333,58.9736
42.54083,58.95166
42.60416,58.85027
42.63221,58.81166
42.64305,58.79749
42.65416,58.78472
42.65804,58.78055
42.66972,58.76888
42.70388,58.73055
42.79416,58.62277
42.79749,58.61749
42.79778,58.60972
42.79527,58.60416
42.78416,58.59777
42.77749,58.59527
42.76555,58.59249
42.75388,58.59083
42.72499,58.58721
42.70777,58.58527
42.69554,58.5825
42.6761,58.575
42.67055,58.57166
42.66249,58.56277
42.65943,58.55027
42.65777,58.52166
42.65916,58.46111
42.66082,58.42249
42.66305,58.4061
42.66471,58.39722
42.67444,58.36721
42.6886,58.3336
42.69554,58.31027
42.69749,58.29388
42.69554,58.27305
42.69249,58.26028
42.65193,58.16444
42.64555,58.15443
42.64138,58.14999
42.63082,58.14305
42.62027,58.14388
42.61555,58.14583
42.60777,58.15332
42.60111,58.16415
42.58833,58.19943
42.57861,58.22916
42.57277,58.25472
42.56388,58.28666
42.55833,58.29972
42.55193,58.31082
42.54833,58.315
42.52138,58.34277
42.31388,58.51749
42.3086,58.51833
42.30444,58.51555
42.3011,58.51055
42.29805,58.49805
42.29472,58.44166
42.29444,58.41944
42.29666,58.41193
42.30083,58.4086
42.30555,58.40665
42.31055,58.40582
42.3161,58.4061
42.35278,58.41554
42.36444,58.41694
42.385,58.41332
42.39833,58.40638
42.40638,58.39888
42.42027,58.37943
42.42999,58.36305
42.44694,58.325
42.46277,58.28333
42.47138,58.25139
42.50388,58.10166
42.5075,58.07639
42.50805,58.0536
42.50464,58.0266
42.49805,58.01639
42.44554,57.9436
42.39916,57.94804
42.38249,57.96055
42.37777,57.96277
42.36721,57.96361
42.35444,57.95972
42.34222,57.95416
42.26527,57.90833
42.21082,57.87277
42.18777,57.8386
42.1536,57.66444
42.15332,57.62749
42.15499,57.61277
42.16305,57.57999
42.17333,57.49777
42.17527,57.47388
42.17388,57.44499
42.1711,57.4175
42.16249,57.38694
42.14972,57.35222
42.1386,57.32361
42.11944,57.27916
42.10972,57.26416
42.09527,57.24583
42.06361,57.21111
42.04416,57.19638
42.03361,57.18999
42.02694,57.18749
41.99749,57.17333
41.98305,57.16249
41.96111,57.14249
41.94499,57.12444
41.94166,57.11971
41.92888,57.1
41.92638,57.09444
41.92083,57.07666
41.9161,57.05804
41.91055,57.03249
41.90999,57.02583
41.90527,57.00722
41.90277,57.00166
41.89305,56.98694
41.885,56.97833
41.8661,56.97083
41.85416,56.9686
41.68194,56.97749
41.47665,57.03944
41.46693,57.04277
41.44888,57.05222
41.43665,57.06194
41.41221,57.08305
41.40138,57.09583
41.39194,57.11221
41.38972,57.11971
41.34583,57.13388
41.26583,57.05499
41.26028,57.04472
41.25861,57.03111
41.26999,56.9561
41.27499,56.93028
41.27888,56.91388
41.28639,56.89333
41.29028,56.87721
41.29778,56.84361
41.29944,56.82749
41.29888,56.79833
41.29333,56.75111
41.29166,56.745
41.28722,56.69721
41.28805,56.66694
41.28916,56.64416
41.2961,56.54277
41.29829,56.53375
41.29694,56.52361
41.30638,56.36028
41.31527,56.215
41.32555,56.015
41.32845,56.00096
41.35388,56.00028
41.57639,55.99944
41.8961,55.99916
42.13277,55.99916
42.21639,56
42.4811,55.99972
42.76028,55.99888
43.01167,55.9986
43.08138,55.99944
43.34694,55.99916
43.62666,55.99833
43.87888,55.99805
43.9486,55.99888
44.50944,55.9986
44.73416,55.99749
45.00111,55.99749
45.003,56.00002
45.06361,56.25722
45.09388,56.3875
45.15388,56.64861
45.1686,56.71416
45.17297,56.75019
45.17833,56.7575
45.1836,56.77943
45.24777,57.06361
45.32055,57.39222
45.36361,57.58971
45.45361,58.00805
45.50944,58.27305
45.5686,58.56055
45.57111,58.56972
45.5706,58.57082
44.2111,61.14916
44.19833,61.1661
44.07972,61.31166
43.82999,61.61444
43.66305,61.81471
43.54361,61.95694
43.48479,62.02511
43.48833,62.04472
43.53277,62.38249
43.54639,62.48805
43.58916,62.82666
43.63638,63.21138
43.61944,63.42249
43.60999,63.5375
43.57055,63.99722
43.56916,64.02138
43.54805,64.45804
43.60027,64.58554
43.70332,64.84332
43.73777,64.93137
43.65249,65.02693
43.48082,65.2161
43.4325,65.26833
43.325,65.51111
43.31722,65.52693
43.1536,65.63805
42.98943,65.74803
42.87721,65.82193
42.99694,66.12387
42.80027,66.11054
42.67166,66.10109
42.60444,66.09583
42.42387,66.07079
42.42333,66.03665
42.33638,66.03442
42.0461,66.02916
42.00305,66.02916
42.00305,66.52638
41.89666,66.53915
41.83638,66.54553
41.74527,66.55664
41.73277,66.55859
41.71693,66.56249
41.46055,66.63611
41.175,66.71999
41.16483,66.75949
41.16193,66.77777
41.14999,66.87581
41.1433,67.07195
41.145,67.15915
41.14916,67.35054
41.15416,67.43942
41.15888,67.4897
41.1675,67.5361
41.18221,67.63998
41.19166,67.74027
41.19249,67.75499
41.19222,67.76305
41.18333,67.93553
41.13055,67.98943
41.065,68.09833
41.06554,68.10609
41.06444,68.11249
41.05166,68.14027
41.03611,68.15416
40.98638,68.14554
40.97971,68.14415
40.90749,68.11609
40.87943,68.10332
40.8625,68.08777
40.85194,68.07443
40.84083,68.05386
40.81027,68.04804
40.70388,68.21277
40.69138,68.23332
40.68055,68.25694
40.6778,68.26547
40.65888,68.30443
40.6536,68.31667
40.59777,68.45526
40.59444,68.47971
40.59972,68.60803
40.6075,68.63165
40.61028,68.63666
40.61749,68.64554
40.62166,68.64916
40.67166,68.65193
40.71805,68.62859
40.73888,68.58916
40.86138,68.56805
40.91999,68.5936
40.93694,68.61665
40.94666,68.6461
40.9468,68.64874
40.95194,68.66443
40.96999,68.70972
40.97555,68.71999
40.97887,68.72443
40.98694,68.73276
40.99194,68.73581
41.01055,68.74193
41.03082,68.74693
41.04805,68.75444
41.06332,68.76361
41.07722,68.77443
41.08444,68.78333
41.08694,68.78832
41.1186,68.87526
41.2161,69.06303
41.22833,69.06609
41.27194,69.07304
41.35083,69.08055
41.3561,69.07916
41.36028,69.06442
41.36305,69.05887
41.36721,69.05525
41.37277,69.0547
41.37943,69.05637
41.38777,69.07222
41.45972,69.22665
41.47083,69.25499
41.48416,69.34638
41.48472,69.36137
41.57555,69.48998
41.67333,69.64221
41.69804,69.75194
41.70027,69.76527
41.70332,69.78638
41.70667,69.84586
41.7086,69.90971
41.70805,69.91776
41.70916,69.92442
41.71166,69.93082
41.78027,70.05803
41.82526,70.135
41.83138,70.14499
41.84442,70.15665
41.87608,70.18276
41.95524,70.24414
42.03941,70.33305
42.04636,70.34248
42.05524,70.35776
42.0658,70.37943
42.07302,70.39638
42.09468,70.4561
42.0983,70.46832
42.10107,70.48137
42.09997,70.48831
42.09107,70.50555
42.07691,70.52388
